,AUTH_hashingrounds,AUTH_donotremoveordisable,AUTH_macros,AUTH_haipe,AUTH_snippets,1CO,GAL,ROM,2CO,PHM,PHP,TIT,COL,1TH,2TH,1TI,2TI,EPH
AUTH_hashingrounds,1.0,0.33829851156023094,0.2831099615319215,0.7316915389734712,0.84411570327335,-0.4399969548188538,-0.4741834562477184,-0.4950617964067392,-0.8880038955339351,-0.04516125994893602,-0.6581734041435328,0.25706069946060867,-0.5599052379244909,-0.7209438877459957,-0.2627149436462511,-0.0963618881169371,-0.2233344609501867,-0.8879507488714083
AUTH_donotremoveordisable,0.33829851156023094,1.0,0.49552692093537104,0.49994796972721134,0.17116981389216518,0.1623011258640881,0.04844858670938318,0.12819082716864477,-0.21630556965600548,-0.6116372004338314,-0.4593094241919673,-0.5950826713391982,-0.42614510978900555,-0.24088226619760625,-0.5504808544368263,-0.34722841211825534,-0.5178194665003019,-0.2636908500212586
AUTH_macros,0.2831099615319215,0.49552692093537104,1.0,0.5985853045677972,0.39104263531440075,-0.20542326611135436,-0.19928494554281534,-0.08572996978561155,-0.23806329159342174,-0.17349578952031133,-0.784880613714487,-0.6316890328780967,-0.6274018628360394,-0.21749591834184143,0.17578996877441627,-0.8630047308885657,-0.8667852182446988,-0.3259090343648767
AUTH_haipe,0.7316915389734712,0.49994796972721134,0.5985853045677972,1.0,0.6773983880223751,-0.42235158975546294,-0.26466500674877996,-0.4255516801593823,-0.6880734153675938,-0.04437536824853841,-0.7220397933900569,-0.1464716875487071,-0.5417566311595532,-0.537690282027909,-0.1397708882205008,-0.3394493743794576,-0.44389426541926746,-0.7368766381149137
AUTH_snippets,0.84411570327335,0.17116981389216518,0.39104263531440075,0.6773983880223751,1.0,-0.4800419444052948,-0.2730904026565144,-0.44515590349289924,-0.794692305293913,0.015300592949651831,-0.6749806952695252,0.1805993338859248,-0.6105645659103549,-0.8383491797374769,-0.13205877879170147,-0.16127843233759187,-0.20952171568890451,-0.940057044134331
1CO,-0.4399969548188538,0.1623011258640881,-0.20542326611135436,-0.42235158975546294,-0.4800419444052948,1.0,0.7702957087476384,0.9705733725222693,0.5862142194181659,-0.46186181823886774,0.2454872801974818,-0.021884454869635223,0.0173163478875992,0.38428778091842664,-0.2970300750471778,0.17462123752715009,0.12712899058557559,0.4208097487867606
GAL,-0.4741834562477184,0.04844858670938318,-0.19928494554281534,-0.26466500674877996,-0.2730904026565144,0.7702957087476384,1.0,0.8046383375734641,0.5015637435281105,-0.28177115355247284,0.3387134619968595,-0.028627218188856163,0.12876698042113524,0.18839758626201475,-0.24399996234674498,0.29482432261041114,0.2953076581224232,0.2246764309586501
ROM,-0.4950617964067392,0.12819082716864477,-0.08572996978561155,-0.4255516801593823,-0.44515590349289924,0.9705733725222693,0.8046383375734641,1.0,0.6400984548675501,-0.4554529291852072,0.19085730581716642,-0.11374333433374467,0.0030806003058467812,0.3867360181173508,-0.16817130420038992,0.05714747520663779,0.044104645271740905,0.43681730391837736
2CO,-0.8880038955339351,-0.21630556965600548,-0.23806329159342174,-0.6880734153675938,-0.794692305293913,0.5862142194181659,0.5015637435281105,0.6400984548675501,1.0,-0.034350089356783214,0.4632895886226129,-0.3157931848745317,0.5126785389288095,0.5761342605345929,0.13250713090132404,-0.05177185678664076,0.02650251545105023,0.8080402888193962
PHM,-0.04516125994893602,-0.6116372004338314,-0.17349578952031133,-0.04437536824853841,0.015300592949651831,-0.46186181823886774,-0.28177115355247284,-0.4554529291852072,-0.034350089356783214,1.0,0.07283519156949239,0.4259450537866768,0.28961021631113093,0.020310857989763953,0.6027507385642541,0.11870744629245744,0.1581616416771489,-0.02247365716788835
PHP,-0.6581734041435328,-0.4593094241919673,-0.784880613714487,-0.7220397933900569,-0.6749806952695252,0.2454872801974818,0.3387134619968595,0.19085730581716642,0.4632895886226129,0.07283519156949239,1.0,0.2600407415224353,0.7357405505058882,0.5646420331156541,0.04994568994813406,0.6729692255512011,0.7790696813804959,0.6459585567996787
TIT,0.25706069946060867,-0.5950826713391982,-0.6316890328780967,-0.1464716875487071,0.1805993338859248,-0.021884454869635223,-0.028627218188856163,-0.11374333433374467,-0.3157931848745317,0.4259450537866768,0.2600407415224353,1.0,0.11038069235426665,-0.053193961301623655,0.11813974977645826,0.7046088112207196,0.7080445536624322,-0.21374911832678561
COL,-0.5599052379244909,-0.42614510978900555,-0.6274018628360394,-0.5417566311595532,-0.6105645659103549,0.0173163478875992,0.12876698042113524,0.0030806003058467812,0.5126785389288095,0.28961021631113093,0.7357405505058882,0.11038069235426665,1.0,0.3286196994375582,0.1585864487054061,0.46720359082863017,0.49071332767592407,0.6006188963305772
1TH,-0.7209438877459957,-0.24088226619760625,-0.21749591834184143,-0.537690282027909,-0.8383491797374769,0.38428778091842664,0.18839758626201475,0.3867360181173508,0.5761342605345929,0.020310857989763953,0.5646420331156541,-0.053193961301623655,0.3286196994375582,1.0,0.43031336956066607,0.04130088475101529,0.1831204748123799,0.8547769163445225
2TH,-0.2627149436462511,-0.5504808544368263,0.17578996877441627,-0.1397708882205008,-0.13205877879170147,-0.2970300750471778,-0.24399996234674498,-0.16817130420038992,0.13250713090132404,0.6027507385642541,0.04994568994813406,0.11813974977645826,0.1585864487054061,0.43031336956066607,1.0,-0.22672156526222936,-0.05222924513054206,0.3010994844417902
1TI,-0.0963618881169371,-0.34722841211825534,-0.8630047308885657,-0.3394493743794576,-0.16127843233759187,0.17462123752715009,0.29482432261041114,0.05714747520663779,-0.05177185678664076,0.11870744629245744,0.6729692255512011,0.7046088112207196,0.46720359082863017,0.04130088475101529,-0.22672156526222936,1.0,0.9505680239430526,0.07457677444572788
2TI,-0.2233344609501867,-0.5178194665003019,-0.8667852182446988,-0.44389426541926746,-0.20952171568890451,0.12712899058557559,0.2953076581224232,0.044104645271740905,0.02650251545105023,0.1581616416771489,0.7790696813804959,0.7080445536624322,0.49071332767592407,0.1831204748123799,-0.05222924513054206,0.9505680239430526,1.0,0.16535690612042608
EPH,-0.8879507488714083,-0.2636908500212586,-0.3259090343648767,-0.7368766381149137,-0.940057044134331,0.4208097487867606,0.2246764309586501,0.43681730391837736,0.8080402888193962,-0.02247365716788835,0.6459585567996787,-0.21374911832678561,0.6006188963305772,0.8547769163445225,0.3010994844417902,0.07457677444572788,0.16535690612042608,1.0
